Source,ProductTypeDes,Target,Volume
Europe,Machinery and transport equipment,India,17094058754
Europe,Machinery and transport equipment,Japan,23701273432
Europe,Machinery and transport equipment,Mexico,19520405247
Europe,Machinery and transport equipment,Middle East,85954347298
Europe,Machinery and transport equipment,North America,229475760518
Europe,Machinery and transport equipment,Other Africa,52314166298
Europe,Machinery and transport equipment,Other Asia,40069171083
Europe,Machinery and transport equipment,Other CIS (CIS11),17007672455
Europe,Machinery and transport equipment,Other Europe,115581004412
Europe,Machinery and transport equipment,Russian Federation,37009021791
Europe,Machinery and transport equipment,South Africa,15231615385
Europe,Machinery and transport equipment,South and Central America,45131049252
Europe,Machinery and transport equipment,United States,191765022951
Europe,Automotive products,Africa,18127162591
Europe,Automotive products,Asia,69861817837
Europe,Automotive products,Australia and New Zealand,7282788058
Europe,Automotive products,Brazil,3344531763
Europe,Automotive products,China,32478941346
Europe,Automotive products,Commonwealth of Independent States (CIS),11139381839
Europe,Automotive products,Europe,478220492949
Europe,Automotive products,European Union (28),441637379459
Europe,Automotive products,Four East Asian traders,14839930026
Europe,Automotive products,India,1844704619
Europe,Automotive products,Japan,9796635850
Europe,Automotive products,Mexico,5639217371
Europe,Automotive products,Middle East,16220303520
Europe,Automotive products,North America,73416804843
Europe,Automotive products,Other Africa,11970339347
Europe,Automotive products,Other Asia,3618817937
Europe,Automotive products,Other CIS (CIS11),2547271401
Europe,Automotive products,Other Europe,36583113490
Europe,Automotive products,Russian Federation,8592110438
Europe,Automotive products,South Africa,6156823244
Europe,Automotive products,South and Central America,7756315748
Europe,Automotive products,United States,62527698566
Europe,Other transport equipment,Africa,6314189408
Europe,Other transport equipment,Asia,39386307857
Europe,Other transport equipment,Australia and New Zealand,2308791610
Europe,Other transport equipment,Brazil,4747495559
Europe,Other transport equipment,China,13405539974
Europe,Other transport equipment,Commonwealth of Independent States (CIS),3512799682
Europe,Other transport equipment,Europe,173550420293
Europe,Other transport equipment,European Union (28),160209981769
Europe,Other transport equipment,Four East Asian traders,8835510800
Europe,Other transport equipment,India,2348854145
Europe,Other transport equipment,Japan,1892309423
Europe,Other transport equipment,Mexico,2193315167
Europe,Other transport equipment,Middle East,18289016756
Europe,Other transport equipment,North America,33995714982
Europe,Other transport equipment,Other Africa,5237970258
Europe,Other transport equipment,Other Asia,10595301904
Europe,Other transport equipment,Other CIS (CIS11),1168492263
Europe,Other transport equipment,Other Europe,13340438524
Europe,Other transport equipment,Russian Federation,2344307418
Europe,Other transport equipment,South Africa,1076219150
Europe,Other transport equipment,South and Central America,10817753307
Europe,Other transport equipment,United States,28707316377
European Union (28),Machinery and transport equipment,Africa,63048929000
European Union (28),Machinery and transport equipment,Asia,259160892000
European Union (28),Machinery and transport equipment,Australia and New Zealand,19030112000
European Union (28),Machinery and transport equipment,Brazil,17654981000
European Union (28),Machinery and transport equipment,China,99096350000
European Union (28),Machinery and transport equipment,Commonwealth of Independent States (CIS),50344371000
European Union (28),Machinery and transport equipment,Europe,1356366365000
European Union (28),Machinery and transport equipment,European Union (28),1243809679000
European Union (28),Machinery and transport equipment,Four East Asian traders,64183363000
European Union (28),Machinery and transport equipment,India,16113386000
European Union (28),Machinery and transport equipment,Japan,22784516000
European Union (28),Machinery and transport equipment,Mexico,18945718000
European Union (28),Machinery and transport equipment,Middle East,78652103000
European Union (28),Machinery and transport equipment,North America,220997162000
European Union (28),Machinery and transport equipment,Other Africa,48262555000
European Union (28),Machinery and transport equipment,Other Asia,37953165000
European Union (28),Machinery and transport equipment,Other CIS (CIS11),14660058000
European Union (28),Machinery and transport equipment,Other Europe,112556686000
European Union (28),Machinery and transport equipment,Russian Federation,35684313000
European Union (28),Machinery and transport equipment,South Africa,14786374000
European Union (28),Machinery and transport equipment,South and Central America,43458309000
European Union (28),Machinery and transport equipment,United States,184409113000
European Union (28),Automotive products,Africa,17220620000
European Union (28),Automotive products,Asia,69524105000
European Union (28),Automotive products,Australia and New Zealand,7206804000
European Union (28),Automotive products,Brazil,3281168000
European Union (28),Automotive products,China,32378979000
European Union (28),Automotive products,Commonwealth of Independent States (CIS),10679249000
European Union (28),Automotive products,Europe,460580911000
European Union (28),Automotive products,European Union (28),424444119000
European Union (28),Automotive products,Four East Asian traders,14793862000
European Union (28),Automotive products,India,1826176000
European Union (28),Automotive products,Japan,9761274000
European Union (28),Automotive products,Mexico,5513241000
European Union (28),Automotive products,Middle East,15199606000
European Union (28),Automotive products,North America,72391187000
